<<<0:0:p1:001044>>> アイゼン・メイガス
<<<0:35:p1:001351>>> シオン・ウヅキ③
<<<0:36:p1:001362>>> シオン・ウヅキ④
<<<0:37:p1:001373>>> シオン・ウヅキ⑤
<<<0:38:p1:001384>>> シオン・ウヅキ⑥
<<<0:39:p1:001395>>> ジギー
<<<0:40:p1:00139c>>> ジギー②
<<<0:41:p1:0013a5>>> シトリン
<<<0:42:p1:0013ae>>> Jr.
<<<0:43:p1:0013b2>>> Jr.②
<<<0:44:p1:0013b8>>> ジン・ウヅキ
<<<0:45:p1:0013c5>>> ジン・ウヅキ②
<<<0:45:p2:0013d4>>> 連邦軍服
<<<0:46:p1:0013dd>>> ジン・ウヅキ③
<<<0:47:p1:0013ec>>> スオウ・ウヅキ
<<<0:48:p1:0013fb>>> スコットクン
<<<0:49:p1:001408>>> セラーズ
<<<0:50:p1:001411>>> セルギウス17世
<<<0:51:p1:001420>>> ディミトリ・ユーリエフ
<<<0:52:p1:001437>>> ディミトリ・ユーリエフ②
<<<0:52:p2:001450>>> ファウンデーション理事服
<<<0:53:p1:001469>>> T-elos
<<<0:54:p1:001470>>> ドクトゥス
<<<0:55:p1:00147b>>> トニー
<<<0:56:p1:001482>>> ニグレド
<<<0:57:p1:00148b>>> ネピリム
<<<0:58:p1:001494>>> ハカセ
<<<0:59:p1:00149b>>> ハマー
<<<0:60:p1:0014a2>>> フェブロニア
<<<0:61:p1:0014af>>> ヘルマー
<<<0:62:p1:0014b8>>> ペレグリー
<<<0:62:p2:0014c3>>> 異端審問官服
<<<0:63:p1:0014d0>>> ペレグリー②
<<<0:64:p1:0014dd>>> ペレグリー③
<<<0:65:p1:0014ea>>> マーグリス
<<<0:66:p1:0014f5>>> マーグリス②
<<<0:67:p1:001502>>> マイ・メイガス
<<<0:68:p1:001511>>> マイ・メイガス②
<<<0:69:p1:001522>>> マシューズ
<<<0:70:p1:00152d>>> マリア
<<<0:71:p1:001534>>> ミユキ・イツミ
<<<0:72:p1:001543>>> ミユキ・イツミ②
<<<0:73:p1:001554>>> メリィ・ゴドウィン
<<<0:74:p1:001567>>> M.O.M.O.
<<<0:75:p1:001570>>> M.O.M.O.②
<<<0:76:p1:00157b>>> ユキヒラ・トガシ
<<<0:77:p1:00158c>>> ユリ・ミズラヒ
<<<0:78:p1:00159b>>> ヨアキム・ミズラヒ
<<<0:79:p1:0015ae>>> ルイス・バージル
<<<0:80:p1:0015bf>>> ルイス・バージル②
<<<0:81:p1:0015d2>>> ルイス・バージル③
<<<0:82:p1:0015e5>>> ルイス・バージル④
<<<0:82:p2:0015f8>>> 負傷時
<<<0:83:p1:0015ff>>> ルイス・バージル⑤
<<<0:84:p1:001612>>> ルベド
<<<0:85:p1:001619>>> ロート・マンテル
<<<1:0:p1:001fb4>>> E.S.アシェル EPⅡVer.
<<<1:0:p2:001fca>>> Maker<x385>ヴェクター\nType<x385>E.S.
<<<1:1:p1:001ff0>>> E.S.アシェル EPⅢVer.
<<<1:2:p1:002006>>> E.S.イサカル
<<<1:2:p2:002013>>> Maker<x385>ハイアムズ\nType<x385>E.S.
<<<1:3:p1:002039>>> E.S.ガド
<<<1:4:p1:002042>>> E.S.シメオン
<<<1:4:p2:00204f>>> Maker<x385>Unknown\nType<x385>E.S.
<<<1:5:p1:002072>>> E.S.ゼブルン
<<<1:6:p1:00207f>>> E.S.ダン
<<<1:7:p1:002088>>> E.S.ディナ
<<<1:8:p1:002093>>> E.S.ナフタリ
<<<1:9:p1:0020a0>>> E.S.ユダ
<<<1:10:p1:0020a9>>> E.S.ヨセフ
<<<1:11:p1:0020b4>>> E.S.ルベン
<<<1:12:p1:0020bf>>> E.S.レビ
<<<1:13:p1:0020c8>>> 歌声装置
<<<1:13:p2:0020d1>>> Maker<x385>U-TIC機関\nType<x385>戦闘兵器
<<<1:14:p1:0020fa>>> A.M.W.S.【ジン搭乗機】
<<<1:14:p2:002111>>> Maker<x385>ハイアムズ\nType<x385>A.M.W.S.
<<<1:15:p1:00213b>>> A.M.W.S.【ドクトゥス搭乗機】
<<<1:15:p2:002158>>> Maker<x385>ヴェクター\nType<x385>戦闘兵器
<<<1:16:p1:002182>>> S-Division　ガードA.M.W.S.
<<<1:17:p1:00219d>>> エルザ2
<<<1:17:p2:0021a5>>> Maker<x385>ハカセ\nType<x385>航宙船
<<<1:18:p1:0021c9>>> エルデカイザー
<<<1:18:p2:0021d8>>> Maker<x385>ハカセ\nType<x385>戦闘兵器
<<<1:19:p1:0021fe>>> エルデカイザー烈
<<<1:20:p1:00220f>>> エルデカイザーΣ
<<<1:20:p2:002220>>> Maker<x385>ブラックハカセ\nType<x385>戦闘兵器
<<<1:21:p1:00224e>>> オメガ・イド
<<<1:21:p2:00225b>>> Maker<x385>Unknown\nType<x385>戦闘兵器
<<<1:22:p1:002282>>> オメガ・ウーニウェルシタース
<<<1:23:p1:00229f>>> オメガ・メテンプシューコーシス
<<<1:24:p1:0022be>>> オメガ・レース・ノワエ
<<<1:24:p2:0022d5>>> Maker<x385>星団連邦軍\nType<x385>戦闘兵器
<<<1:25:p1:0022ff>>> オメガ・レース・ノワエ【変形後】
<<<1:26:p1:002320>>> オルムス空母
<<<1:26:p2:00232d>>> Maker<x385>ハイアムズ\nType<x385>戦闘兵器
<<<1:27:p1:002357>>> オルムス護衛艦
<<<1:28:p1:002366>>> オルムス巡洋艦
<<<1:29:p1:002375>>> オルムス砲艦
<<<1:30:p1:002382>>> オルムス揚陸艦
<<<1:31:p1:002391>>> グノーシス空母型
<<<1:31:p2:0023a2>>> Maker<x385>Unknown\nType<x385>グノーシス
<<<1:32:p1:0023cb>>> グノーシス巡洋型
<<<1:33:p1:0023dc>>> グノーシス砲撃型
<<<1:34:p1:0023ed>>> 曙光
<<<1:34:p2:0023f2>>> Maker<x385>ヴェクター\nType<x385>巨大コロニー
<<<1:35:p1:002420>>> 戦略制圧艦メルカバ
<<<1:36:p1:002433>>> 第二ミルチア軍空母
<<<1:36:p2:002446>>> Maker<x385>ミルチア宇宙軍\nType<x385>戦闘兵器
<<<1:37:p1:002474>>> 第二ミルチア軍護衛艦
<<<1:38:p1:002489>>> 第二ミルチア軍巡洋艦
<<<1:39:p1:00249e>>> 第二ミルチア軍砲艦
<<<1:40:p1:0024b1>>> タブバイク
<<<1:41:p1:0024bc>>> ツァラトゥストラ
<<<1:41:p2:0024cd>>> Maker<x385>Unknown\nType<x385>Unknown
<<<1:42:p1:0024f3>>> デュランダル
<<<1:42:p2:002500>>> Maker<x385>Unknown\nType<x385>航宙船
<<<1:43:p1:002525>>> ブラックエルデカイザー
<<<1:44:p1:00253c>>> プロトオメガ
<<<1:44:p2:002549>>> Maker<x385>U-TIC機関\nType<x385>Unknown
<<<1:45:p1:002571>>> ヨシュア
<<<1:46:p1:00257a>>> リューポルド
<<<1:46:p2:002587>>> Maker<x385>テスラ\nType<x385>戦闘兵器
<<<1:47:p1:0025ad>>> 連邦空母
<<<1:48:p1:0025b6>>> 連邦護衛艦
<<<1:49:p1:0025c1>>> 連邦巡洋艦
<<<1:50:p1:0025cc>>> 連邦砲撃艦
<<<2:0:p1:003384>>> アイアコス
<<<2:0:p2:00338f>>> Type<x380>グノーシス
<<<2:1:p1:0033a4>>> アイ・アパエク
<<<2:2:p1:0033b3>>> アザゼル
<<<2:3:p1:0033bc>>> アシュメド・バパズ
<<<2:4:p1:0033cf>>> アステリオン
<<<2:4:p2:0033dc>>> Type<x380>レアリエン
<<<2:5:p1:0033f1>>> アスラ27式
<<<2:6:p1:0033fc>>> アナテマ
<<<2:6:p2:003405>>> Type<x380>戦闘兵器
<<<2:7:p1:003418>>> アナテマ　指揮官機
<<<2:8:p1:00342b>>> アルドラカーフ
<<<2:9:p1:00343a>>> アルマロス
<<<2:10:p1:003445>>> E2 ハウザー
<<<2:11:p1:003451>>> AG-01
<<<2:11:p2:003457>>> Type<x380>A.G.W.S.
<<<2:12:p1:00346a>>> AG-02
<<<2:13:p1:003470>>> AG-03
<<<2:14:p1:003476>>> O-78 グリズリー1
<<<2:15:p1:003487>>> O-78 グリズリー2
<<<2:16:p1:003498>>> カザファ・ジーニャ
<<<2:17:p1:0034ab>>> カルニコス Ⅰ型
<<<2:18:p1:0034bb>>> カルニコス Ⅱ型
<<<2:19:p1:0034cb>>> クルスタータ
<<<2:20:p1:0034d8>>> グレムリン
<<<2:21:p1:0034e3>>> ケーラセクス F
<<<2:22:p1:0034f2>>> ケーラセプテム F
<<<2:23:p1:003503>>> ゴブリン
<<<2:24:p1:00350c>>> シグルドリファ
<<<2:25:p1:00351b>>> スヴァロギッチ
<<<2:26:p1:00352a>>> ストォール・アルマ
<<<2:27:p1:00353d>>> ストォール・マリーネ
<<<2:28:p1:003552>>> ストリボーグ
<<<2:29:p1:00355f>>> セルラヌス
<<<2:30:p1:00356a>>> 戦闘用レアリエンA
<<<2:31:p1:00357c>>> 戦闘用レアリエンB
<<<2:32:p1:00358e>>> ツォルフォ RS
<<<2:33:p1:00359c>>> ツォルフォ RG
<<<2:34:p1:0035aa>>> T190 デンス
<<<2:35:p1:0035b6>>> T183 オクルス
<<<2:36:p1:0035c4>>> DOMO-α
<<<2:37:p1:0035cc>>> DOMO-β
<<<2:38:p1:0035d4>>> デイオン
<<<2:39:p1:0035dd>>> ナートゥス・グラキエース
<<<2:40:p1:0035f6>>> ナートゥス・テッルーリエ
<<<2:41:p1:00360f>>> ナートゥス・フラッマ
<<<2:42:p1:003624>>> ナートゥス・ルーメン
<<<2:43:p1:003639>>> 廃棄物 A156号
<<<2:43:p2:003647>>> Type<x380>モンスター
<<<2:44:p1:00365c>>> 廃棄物 A283号
<<<2:45:p1:00366a>>> P.S.S.-P
<<<2:45:p2:003673>>> Type<x380>兵士
<<<2:46:p1:003682>>> P.S.S.-B
<<<2:47:p1:00368b>>> P.S.S.-C
<<<2:48:p1:003694>>> P.S.S.-A
<<<2:49:p1:00369d>>> P.S.S.-F
<<<2:50:p1:0036a6>>> VRA-3500
<<<2:50:p2:0036af>>> Type<x380>A.M.W.S.
<<<2:51:p1:0036c2>>> VRA-2100
<<<2:52:p1:0036cb>>> VX-7000
<<<2:53:p1:0036d3>>> VX-9000
<<<2:54:p1:0036db>>> V.M.P. エルフ
<<<2:55:p1:0036e9>>> V.M.P. ゼクス
<<<2:56:p1:0036f7>>> V.G.S. アインス
<<<2:57:p1:003707>>> V.G.S. ツヴァイ
<<<2:58:p1:003717>>> ペルーン
<<<2:59:p1:003720>>> マラナタ
<<<2:60:p1:003729>>> マンティコア
<<<2:61:p1:003736>>> メルクリオ GS
<<<2:62:p1:003744>>> メルクリオ GM
<<<2:63:p1:003752>>> ヤクドカノン
<<<2:64:p1:00375f>>> U.R.T.V.標準体
<<<2:64:p2:00376e>>> Type<x380>U.R.T.V.
<<<2:65:p1:003781>>> U-TIC機関兵士A
<<<2:66:p1:003790>>> U-TIC機関兵士B
<<<2:67:p1:00379f>>> ユーリエフ私兵A
<<<2:68:p1:0037af>>> ユーリエフ私兵B
<<<2:69:p1:0037bf>>> レビヤタ
<<<2:70:p1:0037c8>>> レビヤタ　指揮官機
<<<2:71:p1:0037db>>> 連邦軍兵士A
<<<2:72:p1:0037e7>>> 連邦軍兵士B
<<<3:str0:ptr:003844>>> LIST
<<<3:str1:ptr:003849>>> DETAIL
<<<3:str2:ptr:003850>>> No.
<<<3:str3:ptr:003854>>> キャラクター
<<<3:str4:ptr:003861>>> マシン
<<<3:str5:ptr:003868>>> エネミー
<<<3:str6:ptr:003871>>> 左スティック
<<<3:str7:ptr:00387e>>> 右スティック
<<<3:str8:ptr:00388b>>> 方向キー
<<<3:str9:ptr:003894>>> SELECTボタン
<<<3:str10:ptr:0038a1>>> カメラの回転
<<<3:str11:ptr:0038ae>>> カメラ距離の変更
<<<3:str12:ptr:0038bf>>> カメラ視点の変更
<<<3:str13:ptr:0038d0>>> カメラ位置のリセット
<<<3:str14:ptr:0038e5>>> CHARACTER
<<<3:str15:ptr:0038ef>>> MACHINE
<<<3:str16:ptr:0038f7>>> ENEMY
